particle_id,vx,vy,vz,px,py,pz,q,nhits
4503668346847232,-0.0239883,0.00662738,7.88642,-16.4687,16.2631,27.54,-1,15
4503874505277440,-0.0239883,0.00662738,7.88642,0.151191,0.295588,5.59074,-1,0
4503943224754176,-0.0239883,0.00662738,7.88642,0.419959,0.8043,2.34464,1,11
4504011944230912,-0.0239883,0.00662738,7.88642,0.864153,-0.658119,8.23125,-1,14
4504080663707648,-0.0239883,0.00662738,7.88642,-0.211903,0.341638,-2.2842,-1,14
4504149383184384,-0.0239883,0.00662738,7.88642,-0.845402,0.699719,-5.65596,1,12
4504218102661120,-0.0239883,0.00662738,7.88642,0.0217439,-0.690076,-0.120264,-1,11
4504355541614592,-0.0239883,0.00662738,7.88642,-0.056647,1.78817,-5.87372,1,13
4504492980568064,-0.0239883,0.00662738,7.88642,-0.265662,-0.045012,0.856344,1,9
4504561700044800,-0.0239883,0.00662738,7.88642,0.0190318,0.281415,1.54981,-1,15
4504630419521536,-0.0239883,0.00662738,7.88642,-0.292112,-0.251503,4.27105,-1,13
4504767858475008,-0.0239883,0.00662738,7.88642,0.813142,-1.26881,5.99196,1,11
4504836577951744,-0.0239883,0.00662738,7.88642,5.74275,-5.44132,41.9644,-1,9
4504905297428480,-0.0239883,0.00662738,7.88642,2.6604,-4.22659,23.4153,1,13
4504974016905216,-0.0239883,0.00662738,7.88642,-0.388273,-0.0523542,1.12613,1,12
4505111455858688,-0.0239883,0.00662738,7.88642,-0.119945,0.000118638,1.57617,-1,0
4505180175335424,-0.0239883,0.00662738,7.88642,0.472333,-0.808688,-0.501081,1,13
4505248894812160,-0.0239883,0.00662738,7.88642,0.13035,-0.702162,-2.19772,1,6
4505523772719104,-0.0239883,0.00662738,7.88642,2.51106,1.55283,-3.46261,-1,10
4505592492195840,-0.0239883,0.00662738,7.88642,1.33744,1.01579,-1.71324,1,12
4505661211672576,-0.0239883,0.00662738,7.88642,4.0726,2.2358,-4.39146,1,13
4505729931149312,-0.0239883,0.00662738,7.88642,0.611674,0.681131,-0.315297,-1,12
4505798650626048,-0.0239883,0.00662738,7.88642,0.223757,0.120322,-1.46947,1,14
4505867370102784,-0.0239883,0.00662738,7.88642,1.66531,-0.494858,-3.21237,1,11
4505936089579520,-0.0239883,0.00662738,7.88642,1.09318,0.0604477,-2.11399,-1,12
4506004809056256,-0.0239883,0.00662738,7.88642,5.40185,0.658342,-11.6221,1,12
4506348406439936,-0.0239883,0.00662738,7.88642,0.0256518,0.68166,16.547,-1,12
4506417125916672,-0.0239883,0.00662738,7.88642,-1.42125,0.473789,8.70779,1,3
4506485845393408,-0.0239883,0.00662738,7.88642,-0.189378,0.434191,4.16108,1,13
4506554564870144,-0.0239883,0.00662738,7.88642,0.12501,-0.595604,1.21052,-1,10
4506692003823616,-0.0239883,0.00662738,7.88642,0.0826413,0.776051,2.51903,-1,4
4506760723300352,-0.0239883,0.00662738,7.88642,-4.31464,1.8108,13.9796,1,12
4506829442777088,-0.0239883,0.00662738,7.88642,-3.46691,-0.291256,9.72164,-1,14
4506898162253824,-0.0239883,0.00662738,7.88642,0.612583,-0.200913,2.19229,1,12
4506966881730560,-0.0239883,0.00662738,7.88642,1.74361,-0.303588,27.157,1,12
4507035601207296,-0.0239883,0.00662738,7.88642,1.19651,-0.849524,15.7575,-1,12
4507104320684032,-0.0239883,0.00662738,7.88642,1.32392,-0.428551,21.1869,1,12
4507173040160768,-0.0239883,0.00662738,7.88642,-0.314041,0.644436,-13.895,1,15
4507241759637504,-0.0239883,0.00662738,7.88642,-0.732112,0.103161,-8.89744,-1,13
4507310479114240,-0.0239883,0.00662738,7.88642,0.0484869,0.103624,-0.28116,-1,0
4507379198590976,-0.0239883,0.00662738,7.88642,0.280392,0.121531,0.912064,-1,14
4507860234928128,-0.0239883,0.00662738,7.88642,-0.274079,0.07262,1.33851,-1,13
4507928954404864,-0.0239883,0.00662738,7.88642,1.2713,-1.62393,5.71852,1,8
4507997673881600,-0.0239883,0.00662738,7.88642,0.333937,-0.163358,1.41936,-1,14
4508066393358336,-0.0239883,0.00662738,7.88642,0.53468,0.0604076,1.10199,-1,10
4508135112835072,-0.0239883,0.00662738,7.88642,0.165236,-0.0795603,-0.166164,1,11
4508409990742016,-0.0239883,0.00662738,7.88642,-1.64354,-0.136901,-6.1516,-1,11
4508478710218752,-0.0239883,0.00662738,7.88642,-3.83667,-1.42198,-9.65497,1,12
4508547429695488,-0.0239883,0.00662738,7.88642,-1.45444,-0.16857,-3.83505,1,11
4508616149172224,-0.0239883,0.00662738,7.88642,-4.80688,-1.82419,-12.1623,-1,10
4508891027079168,-0.0239883,0.00662738,7.88642,0.040425,0.442197,-0.115151,-1,11
4508959746555904,-0.0239883,0.00662738,7.88642,0.128039,-0.192719,0.0496955,1,11
4509028466032640,-0.0239883,0.00662738,7.88642,0.118141,0.020117,-0.244986,-1,0
4509097185509376,-0.0239883,0.00662738,7.88642,0.640811,0.0593084,-7.24249,-1,11
4509715660800000,-0.0239883,0.00662738,7.88642,0.218281,-0.106539,-1.84594,-1,15
4509784380276736,-0.0239883,0.00662738,7.88642,-0.174063,0.0446642,-3.20971,1,13
4509853099753472,-0.0239883,0.00662738,7.88642,0.268529,0.983389,-1.24986,1,12
4509921819230208,-0.0239883,0.00662738,7.88642,0.15075,1.13314,-0.87939,-1,9
4509990538706944,-0.0239883,0.00662738,7.88642,0.26316,0.21647,-0.0578228,1,13
4510196697137152,-0.0239883,0.00662738,7.88642,-0.24283,0.151561,-0.212595,-1,11
4510265416613888,-0.0239883,0.00662738,7.88642,-0.0931177,-0.509262,-0.421235,1,12
4510334136090624,-0.0239883,0.00662738,7.88642,-0.409975,0.416954,-0.523354,-1,12
4510402855567360,-0.0239883,0.00662738,7.88642,-0.400156,1.0483,0.421555,-1,12
4510471575044096,-0.0239883,0.00662738,7.88642,-0.152145,0.761444,-0.353976,-1,15
4510540294520832,-0.0239883,0.00662738,7.88642,0.417839,0.809727,0.659813,1,8
4510609013997568,-0.0239883,0.00662738,7.88642,1.64138,1.44393,3.84497,-1,10
4510677733474304,-0.0239883,0.00662738,7.88642,0.186787,-0.188523,1.27997,-1,13
4511021330857984,-0.0239883,0.00662738,7.88642,-0.0465714,0.746894,2.75778,-1,13
4511090050334720,-0.0239883,0.00662738,7.88642,0.16301,-0.460719,4.14942,1,13
4511158769811456,-0.0239883,0.00662738,7.88642,-0.28985,0.230921,1.72327,-1,13
4511364928241664,-0.0239883,0.00662738,7.88642,0.229109,-0.249243,-4.26894,-1,0
4511433647718400,-0.0239883,0.00662738,7.88642,-0.783683,-0.174514,-20.1199,1,11
4511639806148608,-0.0239883,0.00662738,7.88642,-0.38972,-0.121478,-1.94183,1,2
4511708525625344,-0.0239883,0.00662738,7.88642,-0.217894,0.106815,-0.193499,-1,13
4511777245102080,-0.0239883,0.00662738,7.88642,0.305536,-0.504538,15.6509,-1,1
4511914684055552,-0.0239883,0.00662738,7.88642,0.430387,0.622287,0.20459,-1,12
4511983403532288,-0.0239883,0.00662738,7.88642,0.246543,-0.36225,1.84935,1,12
4512052123009024,-0.0239883,0.00662738,7.88642,2.18211,-2.20584,12.6799,-1,14
4512120842485760,-0.0239883,0.00662738,7.88642,4.40897,-5.4568,32.3493,1,10
4512189561962496,-0.0239883,0.00662738,7.88642,1.69336,-1.65682,12.8344,-1,15
4512327000915968,-0.0239883,0.00662738,7.88642,1.92477,-1.7588,12.1889,-1,3
4512395720392704,-0.0239883,0.00662738,7.88642,-0.384129,0.0921139,3.34076,-1,13
4512601878822912,-0.0239883,0.00662738,7.88642,-3.11424,-0.594381,3.89009,-1,5
4512670598299648,-0.0239883,0.00662738,7.88642,-0.924371,-0.509618,1.05355,1,11
4512739317776384,-0.0239883,0.00662738,7.88642,-0.214682,-0.305664,2.09918,1,12
4512808037253120,-0.0239883,0.00662738,7.88642,0.0721309,0.170087,0.13375,1,9
4512945476206592,-0.0239883,0.00662738,7.88642,0.0226312,-0.421904,0.606046,-1,11
4513014195683328,-0.0239883,0.00662738,7.88642,-0.210994,-0.835324,-0.339104,-1,12
4513082915160064,-0.0239883,0.00662738,7.88642,-0.233211,0.0880648,-0.911871,-1,14
4513151634636800,-0.0239883,0.00662738,7.88642,0.0431675,-0.561888,-8.49508,1,13
4513357793067008,-0.0239883,0.00662738,7.88642,1.88368,0.300529,-3.95627,-1,14
4513426512543744,-0.0239883,0.00662738,7.88642,0.276704,0.225528,-0.393098,1,15
4513495232020480,-0.0239883,0.00662738,7.88642,1.28847,0.781307,-0.930934,1,10
4513563951497216,-0.0239883,0.00662738,7.88642,3.32421,0.402572,-2.83391,-1,14
4513632670973952,-0.0239883,0.00662738,7.88642,1.61365,0.598481,-1.811,-1,12
4513770109927424,-0.0239883,0.00662738,7.88642,0.744203,0.159904,-0.947135,-1,6
