hit_id,x,y,z,volume_id,layer_id,module_id
1,-78.8588,-9.09021,-1502.5,7,2,1
2,-54.7142,-10.8513,-1502.5,7,2,1
3,-69.4879,-8.10193,-1502.5,7,2,1
4,-76.3841,-3.62922,-1502.5,7,2,1
5,-101.717,-1.51027,-1502.5,7,2,1
6,-62.2439,-7.8829,-1502.5,7,2,1
7,-65.8958,-10.7282,-1502.5,7,2,1
8,-66.1771,-6.43704,-1502.5,7,2,1
9,-70.0223,-4.50376,-1502.5,7,2,1
10,-82.9347,-2.13858,-1502.5,7,2,1
11,-100.641,-13.563,-1502.5,7,2,1
12,-65.8231,-3.04882,-1502.5,7,2,1
13,-81.4025,-7.98638,-1502.5,7,2,1
14,-165.669,-5.68223,-1502,7,2,2
15,-110.981,-3.05372,-1502,7,2,2
16,-168.04,-8.49474,-1502,7,2,2
17,-131.674,-13.4205,-1502,7,2,2
18,-139.22,-1.40615,-1502,7,2,2
19,-111.276,-2.51679,-1502,7,2,2
20,-146.543,-5.23104,-1502,7,2,2
21,-108.734,-0.497228,-1502,7,2,2
22,-131.324,-13.3967,-1498,7,2,3
23,-119.038,-23.7991,-1498,7,2,3
24,-161.393,-18.6514,-1498,7,2,3
25,-119.192,-24.7293,-1498,7,2,3
26,-65.7315,-10.7158,-1498,7,2,4
27,-77.2149,-17.8435,-1498,7,2,4
28,-62.0752,-7.83257,-1498,7,2,4
29,-90.8804,-16.3421,-1498,7,2,4
30,-59.997,-18.6976,-1498,7,2,4
31,-56.3353,-14.939,-1498,7,2,4
32,-86.0272,-22.5816,-1498,7,2,4
33,-84.5831,-15.3445,-1498,7,2,4
34,-89.4785,-29.1693,-1498,7,2,4
35,-69.2835,-8.07193,-1498,7,2,4
36,-78.0354,-26.4735,-1498,7,2,4
37,-54.5498,-10.808,-1498,7,2,4
38,-77.0932,-25.5788,-1498,7,2,4
39,-68.9278,-19.3505,-1498,7,2,4
40,-81.5404,-15.4882,-1498,7,2,4
41,-144.267,-40.6343,-1502,7,2,5
42,-171.337,-39.1686,-1502,7,2,5
43,-130.415,-35.9895,-1502,7,2,5
44,-132.028,-33.8006,-1502,7,2,5
45,-158.749,-42.5508,-1502,7,2,5
46,-145.93,-37.0705,-1502,7,2,5
47,-119.52,-24.7466,-1502,7,2,5
48,-111.175,-29.1015,-1502,7,2,5
49,-119.348,-23.8328,-1502,7,2,5
50,-135.9,-28.3935,-1502,7,2,5
51,-118.782,-35.8217,-1502,7,2,5
52,-56.494,-14.985,-1502,7,2,6
53,-56.8342,-32.3901,-1502,7,2,6
54,-89.7373,-29.2419,-1502,7,2,6
55,-60.1321,-18.7108,-1502,7,2,6
56,-91.4341,-38.2275,-1502,7,2,6
57,-65.277,-32.5859,-1502,7,2,6
58,-51.3174,-17.928,-1502,7,2,6
59,-52.8498,-21.4311,-1502,7,2,6
60,-49.6733,-28.0709,-1502,7,2,6
61,-64.7649,-29.5595,-1502,7,2,6
62,-75.2365,-27.9439,-1502,7,2,6
63,-93.8574,-35.1698,-1502,7,2,6
64,-77.2817,-25.6521,-1502,7,2,6
65,-80.797,-42.1534,-1502,7,2,6
66,-78.2137,-26.5793,-1502,7,2,6
67,-68.6375,-29.3235,-1502,7,2,6
68,-95.9603,-33.7678,-1502,7,2,6
