hit_id,x,y,z,volume_id,layer_id,module_id
1,-73.4958,1.81418,-1502.5,7,2,1
2,-72.1348,-10.3164,-1502.5,7,2,1
3,-100.79,-6.85401,-1502.5,7,2,1
4,-57.9606,-2.58049,-1502.5,7,2,1
5,-57.3615,-10.9092,-1502.5,7,2,1
6,-58.3707,1.57749,-1502.5,7,2,1
7,-84.357,-4.85855,-1502.5,7,2,1
8,-84.6445,-14.1096,-1502.5,7,2,1
9,-64.5136,-6.45658,-1502.5,7,2,1
10,-75.714,-5.28173,-1502.5,7,2,1
11,-55.7176,-1.04979,-1502.5,7,2,1
12,-58.4198,-3.66988,-1502.5,7,2,1
13,-66.6363,-5.62055,-1502.5,7,2,1
14,-58.8913,1.35863,-1502.5,7,2,1
15,-72.3836,-5.72179,-1502.5,7,2,1
16,-60.808,-0.0962396,-1502.5,7,2,1
17,-65.0015,-2.73339,-1502.5,7,2,1
18,-61.9404,-4.34819,-1502.5,7,2,1
19,-93.0184,-12.9631,-1502.5,7,2,1
20,-93.7665,-14.6269,-1502.5,7,2,1
21,-89.3455,-3.84682,-1502.5,7,2,1
22,-119.463,-10.8037,-1502,7,2,2
23,-129.066,-2.38828,-1502,7,2,2
24,-137.584,-11.8506,-1502,7,2,2
25,-165.662,-15.2421,-1502,7,2,2
26,-149.945,-24.1727,-1498,7,2,3
27,-153.415,-25.7169,-1498,7,2,3
28,-105.687,-14.465,-1498,7,2,3
29,-151.011,-16.7488,-1498,7,2,3
30,-139.091,-20.7907,-1498,7,2,3
31,-103.569,-19.8743,-1498,7,2,3
32,-139.479,-20.9962,-1498,7,2,3
33,-133.87,-19.2547,-1498,7,2,3
34,-117.496,-15.8094,-1498,7,2,3
35,-137.227,-11.7969,-1498,7,2,3
36,-119.142,-10.8392,-1498,7,2,3
37,-165.227,-15.1979,-1498,7,2,3
38,-164.48,-28.8758,-1498,7,2,3
39,-171.906,-28.2962,-1498,7,2,3
40,-71.923,-10.2482,-1498,7,2,4
41,-95.0994,-25.2738,-1498,7,2,4
42,-93.4958,-14.6047,-1498,7,2,4
43,-81.3704,-17.4013,-1498,7,2,4
44,-57.1647,-10.8702,-1498,7,2,4
45,-84.3826,-14.0108,-1498,7,2,4
46,-78.6504,-24.1529,-1498,7,2,4
47,-63.131,-14.8222,-1498,7,2,4
48,-88.5666,-23.0884,-1498,7,2,4
49,-81.177,-19.4117,-1498,7,2,4
50,-81.2861,-23.2945,-1498,7,2,4
51,-70.5413,-15.5214,-1498,7,2,4
52,-80.4549,-20.0097,-1498,7,2,4
53,-151.807,-37.1685,-1502,7,2,5
54,-142.759,-33.9618,-1502,7,2,5
55,-113.265,-28.5659,-1502,7,2,5
56,-146.308,-38.3408,-1502,7,2,5
57,-119.312,-26.4954,-1502,7,2,5
58,-106.242,-28.4549,-1502,7,2,5
59,-103.975,-28.4353,-1502,7,2,5
60,-157.888,-33.9247,-1502,7,2,5
61,-166.496,-45.6058,-1502,7,2,5
62,-161.968,-37.504,-1502,7,2,5
63,-114.554,-25.7873,-1502,7,2,5
64,-117.765,-31.7816,-1502,7,2,5
65,-103.853,-19.9317,-1502,7,2,5
66,-139.017,-39.2455,-1502,7,2,5
67,-128.484,-37.0762,-1502,7,2,5
68,-109.265,-31.5287,-1502,7,2,5
69,-59.1738,-25.5659,-1502,7,2,6
70,-75.5789,-28.4104,-1502,7,2,6
71,-82.1759,-32.063,-1502,7,2,6
72,-62.7424,-31.7525,-1502,7,2,6
73,-78.8403,-24.2411,-1502,7,2,6
74,-76.3904,-27.0689,-1502,7,2,6
75,-94.147,-33.8827,-1502,7,2,6
76,-34.8536,-19.6053,-1502,7,2,6
77,-72.6303,-28.6503,-1502,7,2,6
78,-50.4767,-25.1024,-1502,7,2,6
79,-89.1361,-32.5647,-1502,7,2,6
80,-84.3572,-35.8134,-1502,7,2,6
81,-96.6014,-40.3667,-1498,7,2,7
82,-135.282,-44.2608,-1498,7,2,7
83,-128.109,-37.0053,-1498,7,2,7
84,-140.228,-51.9829,-1498,7,2,7
85,-157.605,-58.5137,-1498,7,2,7
86,-108.969,-31.4339,-1498,7,2,7
87,-138.65,-39.1672,-1498,7,2,7
88,-117.399,-31.7809,-1498,7,2,7
89,-103.709,-28.3526,-1498,7,2,7
90,-106.957,-34.3456,-1498,7,2,7
