particle_id,vx,vy,vz,px,py,pz,q,nhits
4503737066323968,0.00498268,-0.0077872,-0.986922,-9.26457,25.5145,585.989,1,14
4503943224754176,0.00498268,-0.0077872,-0.986922,-1.87114,0.928182,-36.6033,1,15
4504011944230912,0.00498268,-0.0077872,-0.986922,-1.06913,0.573187,-28.516,-1,11
4504080663707648,0.00498268,-0.0077872,-0.986922,-0.308345,-0.024723,3.32248,-1,0
4504218102661120,0.00498268,-0.0077872,-0.986922,-0.535279,-0.634654,7.27095,-1,14
4504286822137856,0.00498268,-0.0077872,-0.986922,-0.600775,0.189733,0.887168,1,12
4504355541614592,0.00498268,-0.0077872,-0.986922,-2.76242,-0.640412,-1.89183,1,10
4504424261091328,0.00498268,-0.0077872,-0.986922,-1.78893,-0.281558,-1.78253,-1,13
4504492980568064,0.00498268,-0.0077872,-0.986922,-1.18169,0.110808,-0.46547,1,11
4504630419521536,0.00498268,-0.0077872,-0.986922,0.247859,-0.373314,-1.32018,-1,11
4504699138998272,0.00498268,-0.0077872,-0.986922,0.0185183,-0.64533,-1.01138,1,14
4504767858475008,0.00498268,-0.0077872,-0.986922,-0.494481,-0.133661,-0.376828,-1,11
4504974016905216,0.00498268,-0.0077872,-0.986922,1.12532,0.0666481,11.46,-1,14
4505111455858688,0.00498268,-0.0077872,-0.986922,1.52124,-0.207257,26.5782,-1,14
4505180175335424,0.00498268,-0.0077872,-0.986922,1.16638,0.204249,6.82253,1,11
4505248894812160,0.00498268,-0.0077872,-0.986922,-0.15494,0.13922,0.392576,1,13
4505317614288896,0.00498268,-0.0077872,-0.986922,0.0681837,0.0921226,-0.184977,1,0
4505386333765632,0.00498268,-0.0077872,-0.986922,0.489432,0.873179,-7.50057,-1,16
4505455053242368,0.00498268,-0.0077872,-0.986922,-0.446199,-0.0578892,-7.83808,-1,0
4505798650626048,0.00498268,-0.0077872,-0.986922,-0.316926,-1.01639,-23.1229,1,1
4505867370102784,0.00498268,-0.0077872,-0.986922,-1.88473,-0.648586,-13.0796,-1,13
4506004809056256,0.00498268,-0.0077872,-0.986922,-0.402279,0.224971,-6.48641,1,12
4506210967486464,0.00498268,-0.0077872,-0.986922,-0.377733,-2.5755,0.322594,-1,11
4506279686963200,0.00498268,-0.0077872,-0.986922,-0.454408,-3.61711,0.666444,1,12
4506348406439936,0.00498268,-0.0077872,-0.986922,5.14764,3.09988,-0.996201,1,10
4506417125916672,0.00498268,-0.0077872,-0.986922,-0.134655,0.020491,-0.0395954,1,0
4506485845393408,0.00498268,-0.0077872,-0.986922,-0.44378,-0.0333323,-4.07827,1,16
4506554564870144,0.00498268,-0.0077872,-0.986922,0.168204,0.318575,-9.16631,1,13
4506898162253824,0.00498268,-0.0077872,-0.986922,-0.0977123,-0.805459,5.2158,1,17
4506966881730560,0.00498268,-0.0077872,-0.986922,0.000607185,0.529406,-0.253877,-1,12
4507035601207296,0.00498268,-0.0077872,-0.986922,-0.0413124,-0.564452,-0.367725,1,11
4507104320684032,0.00498268,-0.0077872,-0.986922,-0.351656,-0.147926,2.44826,-1,15
4507173040160768,0.00498268,-0.0077872,-0.986922,-3.03656,-3.97127,28.5485,1,14
4507241759637504,0.00498268,-0.0077872,-0.986922,-0.530395,-2.07152,12.1792,1,17
4507310479114240,0.00498268,-0.0077872,-0.986922,-0.00559352,-0.602418,1.86079,-1,14
4507379198590976,0.00498268,-0.0077872,-0.986922,-0.219278,0.169789,2.96886,1,9
4507447918067712,0.00498268,-0.0077872,-0.986922,-0.345624,-0.208384,3.27267,-1,13
4507516637544448,0.00498268,-0.0077872,-0.986922,0.5607,0.318683,4.27463,1,15
4507860234928128,0.00498268,-0.0077872,-0.986922,-1.54286,0.679254,13.7291,-1,12
4507928954404864,0.00498268,-0.0077872,-0.986922,-0.352299,-0.716192,1.66752,-1,10
4507997673881600,0.00498268,-0.0077872,-0.986922,-0.0315761,-1.09557,1.4386,1,11
4508135112835072,0.00498268,-0.0077872,-0.986922,0.824197,-0.443087,-0.0239224,-1,10
4508341271265280,0.00498268,-0.0077872,-0.986922,0.180541,-0.131041,-4.41903,-1,0
4508409990742016,0.00498268,-0.0077872,-0.986922,0.51451,0.144564,-8.34822,1,12
